gene	log2FC_vs_int	log2FC_vs_pancHH	log2FC_vs_st	padj_vs_int	padj_vs_pancHH	padj_vs_st	SigVsMut	upInMut	nSig
Fgfr2	-2.46859762093587	-2.8986541405839	-2.02266753848943	3.51277042254999e-71	2.73358787012155e-99	7.14873902552215e-47	TRUE	TRUE	2
Bmp4	-2.58642997652259	-3.04402912171698	-1.57482706929787	5.8959694833384e-50	1.84620105214019e-70	1.32170558347016e-16	TRUE	TRUE	2
Sostdc1	-1.42540019799194	-4.16497328420506	-2.18471571711941	0.0336065263838569	4.46573334562096e-45	1.04400388446868e-09	TRUE	TRUE	2
Gdnf	-4.11930854978795	-3.48767937197683	-3.951408786832	1.23366287441904e-42	1.2184325444904e-29	5.3338597958791e-39	TRUE	TRUE	2
Grem1	-3.7337214258946	-3.98077411395766	-4.03484848777841	2.38312629316883e-15	5.91084059242784e-18	1.52949566442507e-18	TRUE	TRUE	2
Itga3	-1.2665971012514	-1.18013720911183	-0.958495137136013	5.50339935345197e-09	1.75113202805038e-07	0.000582443541363815	TRUE	TRUE	2
Rspo1	-1.26428349902153	-0.938265527538544	-1.98539833167136	1.13706388127474e-09	0.000496863482806165	2.37780703001738e-28	TRUE	TRUE	2
Pdgfa	-0.98096422958219	-2.2205570023246	-0.887240244959549	0.00669326788624789	1.89971630351231e-27	0.068834405704631	TRUE	TRUE	1
Fzd4	-0.948440069759487	-1.83013204172446	-1.35780636757799	0.0555972572428304	1.54115684956308e-15	2.84641110548585e-07	TRUE	TRUE	1
Bche	-0.321694275133795	-1.36559940527579	-2.23781271768167	1	1.31441769257984e-07	1.69557315792617e-25	TRUE	TRUE	1
Car2	-1.99065778382231	-2.16354083687992	-1.65956618399821	0.000859383242265927	4.142374630645e-05	0.09395593864921	TRUE	TRUE	1
Rspo3	-1.06244366448717	-1.09924136954683	-0.427953346942524	0.00127955451548474	0.000363191727837045	1	TRUE	TRUE	1
Nrg1	-0.892128741476222	-2.0235801934141	0.0967526691518988	1	7.41080882925172e-11	1	TRUE	TRUE	0
Dkk3	-0.932821874021506	-1.75320393879469	-0.871968276731873	1	1.52757940152055e-09	1	TRUE	TRUE	0
Nog	-1.23330089757718	-2.47821696868578	-0.807613306935245	1	2.56993336842449e-09	1	TRUE	TRUE	0
Gprc5b	0.629315089512383	-2.42861461156645	0.145246830477296	1	1.07840537967172e-05	1	TRUE	TRUE	0
Cfl1	-0.418686434088086	-0.696661155511989	-0.26858150006015	1	1.71588479772169e-05	1	TRUE	TRUE	0
Dbi	-0.528433342637918	-0.837014231090427	-0.498141660777421	1	0.00200439185292254	1	TRUE	TRUE	0
Igfbp3	3.9030746483214	4.77245676570033	2.06832406824536	4.83722763315308e-18	4.56846956678302e-28	0.00360785439437875	TRUE	FALSE	2
Kit	-2.30574306182244	1.94255407465787	-2.3210586637717	2.45010087951914e-37	6.62699726818193e-23	6.02105643519696e-38	TRUE	FALSE	2
Sema5a	1.30121954880424	2.00211895870879	2.20278433366976	6.32171858411607e-08	2.21645030163037e-22	1.55398154356476e-27	TRUE	FALSE	2
Serpine2	0.830573878663937	1.50185352950253	1.00954966213352	0.00588793041972611	5.08225394369908e-16	8.00055923905171e-06	TRUE	FALSE	2
App	1.08733259276652	1.28353443516515	0.786027394354708	9.45800603956644e-08	5.97375902626841e-12	0.00889366543447862	TRUE	FALSE	2
Hgf	1.88231758221299	1.80426048624475	2.48190662120032	2.18084453914702e-09	2.03220026513634e-08	1.00524560655819e-16	TRUE	FALSE	2
Ngf	1.68086977435612	2.20788445781803	2.02566728744433	0.0124650352472673	4.46277329076048e-06	7.3937508237068e-05	TRUE	FALSE	2
Lrrtm1	0.0749271315547754	3.72690431521374	2.21148550930332	1	1.2420261942533e-20	4.46179566849131e-08	TRUE	FALSE	1
Sulf1	1.51915338572304	1.95130296240566	0.511772491181486	6.12754120368603e-08	5.8429900060844e-15	1	TRUE	FALSE	1
Cpz	1.05202039850757	2.11278298582496	1.61043761507714	0.148274317367405	1.12412297935577e-13	3.02053801405166e-07	TRUE	FALSE	1
Wnt5b	1.12168652432699	1.55712206803373	0.631032523889179	0.000385969999449824	2.24344616100254e-10	1	TRUE	FALSE	1
