gene	11_16_R4_int.counts	11_16_R4_panc.counts	11_16_R4_st.counts	1_13_SSF3_MTD_1_pancHH.counts	8_5_16_int.counts	8_5_16_panc.counts	8_5_16_st.counts	R5_11_2_MT1_pancHH.counts
Xkr4	20	93	92	4	22	50	51	20
RP23-317L18.4	1	1	7	0	1	2	1	0
RP23-317L18.3	6	12	19	0	5	4	3	0
RP23-115I1.6	2	3	8	0	3	0	0	1
RP23-115I1.2	1	1	2	2	0	5	0	2
RP23-122M2.3	0	5	5	0	1	2	6	0
Sox17	2	12	1	0	2	8	0	1
RP23-285G23.3	9	11	6	5	3	8	3	6
Gm6085	11	11	11	10	16	4	5	8
RP23-34E15.2	2	6	0	1	0	1	0	0
RP23-34E15.4	55	53	53	9	49	28	23	16
Mrpl15	1060	1054	1053	1164	1209	954	812	1151
Lypla1	1050	892	1098	808	1248	821	924	980
Tcea1	1364	1142	1304	1187	1553	1145	1071	1214
Gm6104	24	15	17	42	32	22	18	24
RP24-426M1.4	0	1	3	0	1	4	0	6
Rgs20	11	26	20	0	27	14	31	2
Atp6v1h	1142	1255	1264	904	1286	1180	1057	972
Oprk1	179	466	242	1	315	152	234	0
Npbwr1	7	16	13	0	5	5	9	0
Rb1cc1	1600	1644	1671	1057	1483	1374	1263	1203
4732440D04Rik	35	90	47	24	33	40	31	31
Fam150a	1	0	7	5	1	0	7	13
RP23-76C20.3	3	2	0	3	4	3	4	6
RP23-76C20.4	53	70	58	52	41	38	31	57
St18	19	15	18	1	13	18	21	5
Pcmtd1	851	767	899	615	784	539	654	704
WI1-817D1.2	11	15	10	2	9	2	1	4
Gm9826	2	6	3	6	5	6	2	7
Gm26901	12	15	22	7	5	6	11	8
Sntg1	5	30	32	2	6	21	22	4
Gm15452	5	0	3	6	9	1	4	6
RP23-397E23.1	3	1	4	2	8	3	1	6
Gm24276	2	1	0	2	1	1	2	0
Rrs1	958	729	996	779	905	726	712	784
Adhfe1	24	19	31	9	20	27	14	4
2610203C22Rik	1	2	4	3	0	4	3	2
Gm6161	1	1	3	0	2	1	2	0
3110035E14Rik	5	10	8	3	5	2	6	3
Mybl1	46	38	34	51	100	30	74	44
Vcpip1	1413	1283	1493	980	1284	1044	918	1112
1700034P13Rik	5	6	9	3	6	1	3	3
Sgk3	304	222	373	184	329	211	332	211
Mcmdc2	10	13	10	11	17	10	11	11
Snhg6	256	264	279	265	250	216	238	233
Snord87	7	12	6	2	7	8	3	6
Tcf24	85	11	102	5	93	14	74	8
Ppp1r42	2	1	5	1	4	0	2	0
Cops5	1936	1829	1951	1870	2178	1744	1618	1832
Cspp1	974	872	964	523	770	624	614	581
RP23-228G18.6	115	98	102	44	76	44	40	39
Arfgef1	1380	1303	2015	1132	1356	970	1362	1238
RP24-327F2.1	2	7	3	1	1	0	3	4
Cpa6	30	68	273	15	33	31	117	30
Prex2	218	255	194	128	167	103	117	187
A830018L16Rik	337	81	651	33	379	49	456	63
RP23-2K13.1	10	7	33	1	13	2	16	3
RP24-239K20.1	3	0	6	0	3	2	4	2
Gm7560	5	3	2	4	3	5	3	1
Sulf1	4543	19307	10900	2672	5655	9504	7953	4148
Slco5a1	41	44	90	20	46	35	25	23
Ncoa2	1227	1395	1523	1074	1218	1026	981	948
RP23-93D12.2	11	12	10	3	12	11	9	7
RP23-93D12.1	4	10	8	5	2	2	5	2
RP23-125I14.2	9	15	26	5	24	12	9	14
RP23-125I14.1	30	37	32	11	17	15	6	11
Tram1	3335	3930	3396	2405	3330	2865	2486	3374
Lactb2	183	189	159	132	214	145	114	176
RP23-70F22.2	9	20	13	0	1	2	2	18
Eya1	106	131	39	15	79	283	71	34
Gm9947	0	0	1	10	0	2	4	6
Msc	26	10	130	322	16	25	94	342
Rpl5-ps1	3	7	4	7	5	8	7	8
Trpa1	15	1	19	12	8	2	16	19
Kcnb2	394	162	446	249	318	78	231	266
RP23-445B17.1	2	2	6	1	14	0	14	5
RP24-66C10.4	2	4	5	0	5	0	4	1
Terf1	857	678	760	993	783	529	569	791
RP23-325F17.4	8	9	20	3	6	2	12	12
Sbspon	164	174	344	167	190	131	268	264
4930444P10Rik	19	11	24	22	20	7	14	14
Rpl7	5172	4166	5101	5448	5776	4179	4409	4838
Rdh10	5101	4290	2424	1924	4684	5246	1962	2245
Stau2	959	798	1021	871	1273	864	1019	973
Ube2w	940	992	1036	647	1077	917	891	827
RP23-382H8.2	7	4	11	5	2	5	5	4
Tceb1	2259	1976	2115	2210	2477	1835	1877	2041
Tmem70	1156	1185	1332	841	1029	760	1036	1033
Ly96	102	147	130	69	69	100	67	86
Gm5828	14	15	17	20	13	5	10	20
Jph1	65	53	135	88	85	50	80	57
Gdap1	11	5	18	6	14	12	10	9
Rbm6-ps1	5	5	3	4	4	8	5	3
Pi15	97	772	172	1	161	266	63	49
Gm16070	26	19	20	6	21	10	14	5
Crispld1	263	392	368	190	297	204	268	189
Gm28153	3	2	4	1	0	1	2	2
AC098736.2	7	1	7	10	6	5	4	28
Tfap2b	5	4	1	1	4	5	4	8
Gm4849	5	5	8	7	3	2	3	7
Pkhd1	1	2	6	1	0	0	0	3
Mcm3	4649	3734	4504	5020	4252	3879	3090	4533
6720483E21Rik	9	6	9	5	2	3	5	2
Paqr8	407	190	545	234	354	114	429	254
Efhc1	48	142	83	51	103	128	87	61
Tram2	495	415	476	417	552	425	349	446
Gm2693	2	0	3	0	3	0	3	4
Tmem14a	90	129	105	102	117	80	97	86
Gsta3	2	22	6	3	3	18	2	2
Kcnq5	112	209	139	57	128	132	151	45
RP24-496H1.1	5	6	9	3	1	0	5	1
Gm7658	29	22	41	37	58	36	41	11
RP23-322P13.2	3	7	11	1	1	0	5	0
Gm26580	69	79	73	9	21	19	13	18
Rims1	309	117	342	134	240	91	288	161
Ogfrl1	241	190	353	273	313	208	248	229
B3gat2	16	15	17	17	27	15	17	28
Smap1	687	588	667	573	724	514	546	571
1110058L19Rik	376	453	491	333	420	427	326	377
Fam135a	1509	1588	1565	1173	1337	1022	1043	1358
RP23-255J24.2	2	4	3	0	6	0	2	2
Col9a1	529	101	342	437	561	81	252	116
Col19a1	25	13	384	31	13	9	285	37
Tubb4b-ps2	6	8	9	16	4	7	3	5
Gm28439	20	36	22	13	45	15	21	26
Gm10222	4	7	9	2	6	0	3	6
Gm28438	3	12	10	3	7	1	7	6
Gm28437	273	256	284	135	364	183	248	163
Gm10925	101	71	78	50	134	50	59	84
Gm28661	64	78	95	37	123	73	66	43
Gm29216	51	64	80	25	100	46	54	46
Lmbrd1	695	1061	1173	591	615	758	905	740
Bai3	46	219	154	7	54	115	126	24
RP23-21P2.5	0	10	8	0	0	0	0	1
RP23-21P2.8	0	2	2	1	3	3	1	0
RP23-478K4.2	3	9	5	0	0	2	3	0
RP23-478K4.1	0	5	6	0	0	2	0	2
RP23-478K4.3	1	10	6	0	5	3	3	0
RP23-184I13.2	0	5	5	0	1	1	2	0
RP23-184I13.4	2	10	7	0	1	0	1	2
RP23-184I13.6	1	13	6	0	1	0	2	3
RP23-184I13.7	2	3	2	0	1	1	1	0
Gm7846	45	20	30	36	46	21	30	39
Gm5697	1	1	1	2	0	2	2	2
Gm5525	24	29	30	33	28	28	25	19
Gm6473	0	2	2	3	2	1	1	2
Phf3	1399	1329	1440	1305	1281	1060	1072	1228
RP24-172B22.6	2	3	3	1	0	1	1	4
RP23-471J16.2	5	8	11	4	2	8	4	8
Ptp4a1	1701	1558	1881	2281	1865	1539	1640	1910
Gm10307	11	7	5	29	0	0	1	32
Khdrbs2	120	227	284	256	134	166	160	185
RP23-109J14.2	14	48	35	10	5	8	9	18
RP24-390L20.5	0	4	2	0	0	0	2	2
Gm5415	1	5	1	2	3	6	0	1
Gm7114	1	2	3	10	1	1	0	5
Prim2	589	490	528	673	605	564	497	642
Gm29228	2	1	1	0	3	1	2	2
RP24-423J19.1	2	6	6	6	2	6	6	14
Rab23	906	922	1103	876	1027	753	899	812
Bag2	668	417	740	958	784	556	721	848
Zfp451	1989	2300	2379	1568	2119	1816	1626	1492
Gm15455	10	3	4	8	10	3	4	2
Bend6	22	34	27	17	15	15	20	40
Dst	43	152	58	25	56	76	37	61
RP23-87D8.4	3	2	6	0	3	0	1	7
Gm26788	11	10	11	0	5	10	9	6
RP24-422C24.2	101	309	56	22	79	118	28	44
Gm3052	10	18	19	7	8	6	9	5
mmu-mir-5103	43	41	40	10	20	16	23	21
Ccdc115	514	558	565	564	501	536	375	512
Imp4	1357	1400	1380	1443	1391	1247	1071	1249
Ptpn18	5	11	13	6	11	6	6	5
Gm28417	5	2	4	3	1	2	5	0
Arhgef4	113	108	361	48	121	89	277	52
RP23-348C6.3	5	15	3	2	8	10	2	5
Fam168b	6098	6384	6757	5265	6508	5863	4947	5364
RP23-348C6.1	2	4	2	3	4	3	1	0
Plekhb2	393	277	479	320	451	267	482	391
Hs6st1	919	1017	950	584	938	986	700	764
RP23-173H19.3	1	0	5	1	7	8	1	4
Uggt1	2612	3116	2762	2506	2539	2399	2096	2711
Neurl3	31	24	23	21	51	10	13	27
Arid5a	30	40	31	27	51	66	34	25
RP23-134L6.5	7	7	11	9	14	6	4	4
Kansl3	2143	2288	2163	1825	2082	1913	1637	1760
Fer1l5	88	79	123	46	99	86	76	84
Lman2l	1095	1333	1262	920	1218	1165	900	1072
Cnnm4	159	211	182	227	182	196	147	162
RP23-294I17.4	1	2	8	4	2	0	1	2
Cnnm3	1017	923	1253	955	973	798	925	985
Ankrd23	36	41	47	18	34	38	31	27
Ankrd39	361	459	444	250	455	393	363	292
Sema4c	1154	1278	1075	1029	982	1120	773	1162
D430040D24Rik	22	17	10	6	19	14	3	13
Fam178b	2	2	2	5	2	1	1	7
Cox5b	1786	1747	1645	1624	1884	1550	1384	1830
