Entrez Gene ID	Symbol	MGI ID	Smad1/5 peaks minimal p-value in -8k~+3k	Smad4 peaks minimal p-value in -8k~+3k
66911	Nudt16l1	MGI:1914161		2.68E-37
216850	Kdm6b	MGI:2448492	1.13E-04	1.26E-32
382034	Gse1	MGI:1098275		3.69E-32
19261	Sirpa	MGI:108563	2.97E-09	8.77E-29
71354	Wdr31	MGI:1918604		1.08E-26
75590	Dusp9	MGI:2387107	4.03E-14	6.49E-25
11647	Alpl	MGI:87983	2.83E-05	1.14E-23
60595	Actn4	MGI:1890773	2.20E-08	4.99E-22
17702	Msx2	MGI:97169	5.01E-20	3.20E-20
100088	Rcc1	MGI:1913989	1.17E-04	7.09E-20
84113	Ptov1	MGI:1933946		1.48E-18
12484	Cd24a	MGI:88323		4.37E-18
56431	Dstn	MGI:1929270		4.37E-18
12590	Cdx1	MGI:88360	3.63E-07	1.68E-17
76376	Slc24a2	MGI:1923626		2.88E-17
12393	Runx2	MGI:99829		4.35E-17
52513	Ddx56	MGI:1277172		5.72E-17
64657	Mrps10	MGI:1928139		6.07E-17
26894	Cops7a	MGI:1349400		2.01E-16
18655	Pgk1	MGI:97555	1.77E-80	3.09E-16
239650	AI836003	MGI:2146066		3.30E-16
432582	E130309D14Rik	MGI:3588240		3.30E-16
22282	Usf2	MGI:99961		3.30E-16
13495	Drg2	MGI:1342307		4.01E-15
83797	Smarcd1	MGI:1933623		4.46E-15
14269	Fnbp1	MGI:109606	3.63E-05	5.05E-15
67388	1110008F13Rik	MGI:1914638		5.05E-15
14828	Hspa5	MGI:95835		5.62E-15
319554	Idi1	MGI:2442264		6.83E-15
14852	Gspt1	MGI:1316728		1.04E-14
19376	Rab34	MGI:104606		1.24E-14
69773	1810026J23Rik	MGI:1917023	1.16E-05	1.81E-14
52123	Agpat5	MGI:1196345		1.86E-14
210719	Mkx	MGI:2687286		2.00E-14
18741	Pitx2	MGI:109340		2.93E-14
211948	E430028B21Rik	MGI:2443226		4.18E-14
11830	Aqp5	MGI:106215	2.92E-04	4.50E-14
72324	Plxdc1	MGI:1919574	8.79E-05	4.54E-14
212198	Wdr25	MGI:3045255	5.69E-08	5.96E-14
93871	Brwd1	MGI:1890651		6.97E-14
72049	Tnfrsf13c	MGI:1919299		1.02E-13
20856	Stc2	MGI:1316731		1.12E-13
20148	Dhrs3	MGI:1315215		1.22E-13
18674	Slc25a3	MGI:1353498		1.28E-13
20775	Sqle	MGI:109296		1.28E-13
110959	Nudt19	MGI:94203		1.68E-13
20924	Supt5h	MGI:1202400		1.80E-13
22629	Ywhah	MGI:109194		1.98E-13
12562	Cdh5	MGI:105057		2.06E-13
13078	Cyp1b1	MGI:88590		2.34E-13
13857	Epor	MGI:95408		2.73E-13
216835	Usp43	MGI:2444541		2.73E-13
71137	Rfx4	MGI:1918387		3.53E-13
70445	Cd248	MGI:1917695		4.05E-13
18763	Pkd1	MGI:97603		4.28E-13
20788	Srebf2	MGI:107585		4.40E-13
83396	Glis2	MGI:1932535	3.38E-06	7.37E-13
224897	Dpp9	MGI:2443967		1.03E-12
21908	Tlx1	MGI:98769		1.36E-12
67914	Coq9	MGI:1915164		1.63E-12
20440	St6gal1	MGI:108470		1.85E-12
106722	AU023871	MGI:2146995		2.66E-12
68468	Ly6g6c	MGI:2148930		2.66E-12
211488	Ado	MGI:2685083		2.90E-12
71889	Epn3	MGI:1919139		4.22E-12
21944	Tnfsf12	MGI:1196259		4.26E-12
13649	Egfr	MGI:95294		4.75E-12
56844	Tssc4	MGI:1861712		4.77E-12
16924	Lnx1	MGI:1278335	1.89E-04	9.02E-12
68307	Lrriq4	MGI:1915557		9.02E-12
238205	Lrfn5	MGI:2144814		9.02E-12
21407	Tcf15	MGI:104664		9.02E-12
13010	Cst3	MGI:102519		9.90E-12
67998	Fam134c	MGI:1915248		9.98E-12
237782	Smcr8	MGI:2444720		9.98E-12
227327	B3gnt7	MGI:2384394		1.05E-11
14190	Fgl2	MGI:103266		1.05E-11
108155	Ogt	MGI:1339639		1.05E-11
12866	Cox7a2	MGI:1316715		1.05E-11
18984	Por	MGI:97744		1.05E-11
211232	Cpne9	MGI:2443052		1.07E-11
13850	Ephx2	MGI:99500		1.07E-11
28035	Usp39	MGI:107622		1.07E-11
12696	Cirbp	MGI:893588	1.36E-05	1.27E-11
22433	Xbp1	MGI:98970		1.48E-11
231070	Insig1	MGI:1916289		1.54E-11
21432	Tcl1	MGI:1097166		1.55E-11
71962	Gatsl3	MGI:1919212		1.80E-11
212139	Cc2d1a	MGI:2384831		1.95E-11
21366	Slc6a6	MGI:98488	1.01E-07	2.15E-11
16400	Itga3	MGI:96602		2.19E-11
217695	Zfyve1	MGI:3026685	1.03E-06	2.31E-11
234734	Aars	MGI:2384560		2.31E-11
234733	Ddx19b	MGI:2148251		2.31E-11
15464	Hrc	MGI:96226		3.03E-11
68667	Trpm4	MGI:1915917		3.03E-11
12840	Col9a2	MGI:88466		3.47E-11
227737	Fam129b	MGI:2442910		3.93E-11
70209	Tmem143	MGI:1917459		4.28E-11
56399	Akap8	MGI:1928488		4.34E-11
11898	Ass1	MGI:88090		4.81E-11
230784	Sesn2	MGI:2651874	9.45E-07	5.52E-11
320802	6330512M04Rik	MGI:2444776		5.52E-11
18676	Phf2	MGI:1338034		5.52E-11
19262	Ptpra	MGI:97808		5.52E-11
66667	Hspbap1	MGI:1913917		5.56E-11
