baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene	pval	chr	start	end	strand	size
42.942748595265	1.86413926033368	0.592248162844167	3.14756444558896	0.0016463680950156	1	Xkr4	0.0016463680950156	chr1	3205901	3671498	-	465597
1.54915862063711	2.01356173798213	2.50754614402857	0.803000871101491	0.4219742310751	1	RP23-317L18.4	0.4219742310751	chr1	3365731	3368549	-	2818
5.76446158102178	1.01618488917258	1.38945938776709	0.73135271035566	0.464563742243066	1	RP23-317L18.3	0.464563742243066	chr1	3375556	3377788	-	2232
1.95581022615983	0.650672248639925	2.44451216008839	0.266176728127381	0.790103104970061	1	RP23-115I1.6	0.790103104970061	chr1	3464977	3467285	-	2308
1.6368707101391	0.994759579500892	2.82323509527156	0.352347412075935	0.724577735320181	1	RP23-115I1.2	0.724577735320181	chr1	3531795	3532720	+	925
2.38709138092775	3.62556378758167	2.41233466273396	1.50292736890524	0.132857774467934	1	RP23-122M2.3	0.132857774467934	chr1	3647309	3658904	-	11595
3.11153487978319	-1.89592047296995	2.23379471068451	-0.848744275336282	0.396023603737751	1	Sox17	0.396023603737751	chr1	4490931	4497354	-	6423
6.2672850558456	-0.333129604364931	1.252901423735	-0.265886523914902	0.790326604003011	1	RP23-285G23.3	0.790326604003011	chr1	4522905	4526737	+	3832
9.25969642750578	-0.662323551472944	1.0136753856447	-0.653388215648254	0.513506034038976	1	Gm6085	0.513506034038976	chr1	4687934	4689403	-	1469
1.18284081494729	-2.3354428992083	3.42261704576576	-0.68235588965396	0.49501394060413	1	RP23-34E15.2	0.49501394060413	chr1	4692219	4693424	-	1205
34.4914252717188	-0.373853901417805	0.568817549835588	-0.657247480366709	0.511021800367711	1	RP23-34E15.4	0.511021800367711	chr1	4771131	4772199	+	1068
1050.68798723345	-0.158494571925466	0.140946449587398	-1.12450205300976	0.260800100054017	1	Mrpl15	0.260800100054017	chr1	4773206	4785739	-	12533
970.239384552019	-0.0521437774153263	0.153280225306946	-0.340185939255423	0.733716506275816	1	Lypla1	0.733716506275816	chr1	4807788	4848410	+	40622
1239.10788705135	-0.166817062781054	0.143375300133122	-1.16349931003574	0.244626977897885	1	Tcea1	0.244626977897885	chr1	4857814	4897909	+	40095
24.3824220792318	-0.52945671328002	0.673842724031817	-0.785727432229454	0.432027188412877	1	Gm6104	0.432027188412877	chr1	4880049	4880651	-	602
1.8519418064166	1.5802504197869	2.91506961079434	0.542096975638358	0.587751702070116	1	RP24-426M1.4	0.587751702070116	chr1	4905751	4906861	-	1110
16.2504830295517	0.615464484226107	0.838498163632293	0.734008148044086	0.46294377212877	1	Rgs20	0.46294377212877	chr1	4909576	5070285	-	160709
1123.83133880735	0.0660075973887229	0.140310863370277	0.470438252628595	0.638041939944345	1	Atp6v1h	0.638041939944345	chr1	5070018	5162529	+	92511
191.983568119081	0.0975518913261438	0.39656022183061	0.245995150183805	0.80568598676485	1	Oprk1	0.80568598676485	chr1	5588466	5606131	+	17665
6.66734745555779	0.983849830933114	1.23700788659391	0.795346449764468	0.426412000768583	1	Npbwr1	0.426412000768583	chr1	5913707	5917398	-	3691
1396.9432596104	0.0479566742496391	0.135567541348044	0.353747466191182	0.723528146782656	1	Rb1cc1	0.723528146782656	chr1	6206197	6276648	+	70451
40.411942469512	0.308033776313538	0.533844984925227	0.577009778141275	0.563932850100664	1	4732440D04Rik	0.563932850100664	chr1	6209866	6215293	-	5427
4.3749685003846	2.95092959846698	1.75395530093725	1.68244287462178	0.0924829934080069	1	Fam150a	0.0924829934080069	chr1	6359218	6394731	+	35513
3.18852342874393	-0.533973867121601	1.82157091562829	-0.293139214367301	0.769415743911077	1	RP23-76C20.3	0.769415743911077	chr1	6380394	6381032	+	638
49.2810868969883	0.0137912708797495	0.482002846068871	0.028612426238203	0.97717370143778	1	RP23-76C20.4	0.97717370143778	chr1	6429655	6441296	-	11641
13.7113504250476	0.435285940605609	0.853557929449425	0.509966489194686	0.610074939121547	1	St18	0.610074939121547	chr1	6487231	6860940	+	373709
719.004226908071	0.0419658425831569	0.169217185240702	0.247999885611281	0.80413449530744	1	Pcmtd1	0.80413449530744	chr1	7088920	7173628	+	84708
6.3639745898538	-0.849105325713239	1.35686992571189	-0.625782405242529	0.531457673958905	1	WI1-817D1.2	0.531457673958905	chr1	7148110	7152137	+	4027
4.60381025003835	-0.360914633738985	1.4750344844499	-0.244682166785806	0.806702537233297	1	Gm9826	0.806702537233297	chr1	7177739	7179037	+	1298
10.5547026186012	1.0355469750703	0.976666304235458	1.06028739865346	0.2890138703113	1	Gm26901	0.2890138703113	chr1	7349406	7397869	-	48463
15.0515526576068	2.41070811825599	0.854938259235108	2.81974527659201	0.00480617844341084	1	Sntg1	0.00480617844341084	chr1	8361475	9299878	-	938403
4.25767556216	-0.83163991856825	1.46533280229555	-0.567543371216031	0.57034506863349	1	Gm15452	0.57034506863349	chr1	8791923	8792162	-	239
3.41291332055102	-1.06628112023091	1.67484893147368	-0.636643162373275	0.52435730370609	1	RP23-397E23.1	0.52435730370609	chr1	8815842	8816039	+	197
1.16105586632707	-0.315709111282947	2.8597693693789	-0.110396703546592	0.912094767339832	1	Gm24276	0.912094767339832	chr1	8816138	8816247	+	109
817.625638998893	-0.0101492336197225	0.157043653168007	-0.0646268309160176	0.948471121379296	1	Rrs1	0.948471121379296	chr1	9545408	9547455	+	2047
18.1394679963965	0.112810928722241	0.754678445713515	0.149482113028395	0.881173222524063	1	Adhfe1	0.881173222524063	chr1	9547948	9580673	+	32725
2.41971438168873	2.91932072899296	2.27156540889662	1.28515811940057	0.198737035319718	1	2610203C22Rik	0.198737035319718	chr1	9560832	9631175	-	70343
1.22642817430847	0.85692990840786	2.59825871600105	0.329809307722346	0.741544053994525	1	Gm6161	0.741544053994525	chr1	9574548	9575649	+	1101
5.13440306084223	0.605780677942036	1.33091709673315	0.455160339760438	0.648993890710553	1	3110035E14Rik	0.648993890710553	chr1	9601199	9627143	+	25944
52.3504175901035	-0.220617803918257	0.550333850330559	-0.400879945483533	0.688508515617453	1	Mybl1	0.688508515617453	chr1	9667415	9700209	-	32794
1175.04714319669	-0.0602181559738573	0.1591715495956	-0.37832235802724	0.705191138254665	1	Vcpip1	0.705191138254665	chr1	9718622	9748382	-	29760
4.34000851583644	0.191938407951377	1.43568889700361	0.133690807494553	0.893647074463545	1	1700034P13Rik	0.893647074463545	chr1	9747648	9791922	+	44274
269.376277327492	0.290547419385839	0.213086136467077	1.36352098828696	0.172718374402293	1	Sgk3	0.172718374402293	chr1	9798107	9900845	+	102738
11.547143175222	-0.207977550244399	0.892010488735271	-0.233155947010531	0.815640312356112	1	Mcmdc2	0.815640312356112	chr1	9908638	9942085	+	33447
249.189203972604	0.160977017374749	0.225105254504186	0.715118879518451	0.474535588925927	1	Snhg6	0.474535588925927	chr1	9941959	9944118	-	2159
6.1949842927266	-0.542348216410939	1.23869260561629	-0.437839229807225	0.661502830801626	1	Snord87	0.661502830801626	chr1	9942463	9942549	-	86
48.047008031954	0.1024714742699	0.445779762868469	0.22987017986309	0.818192648890033	1	Tcf24	0.818192648890033	chr1	9960163	9967932	-	7769
1.80593566686805	0.304778637354024	2.17939561458245	0.139845485287175	0.888782074320733	1	Ppp1r42	0.888782074320733	chr1	9968624	10009136	-	40512
1859.17810189074	-0.0745129288319181	0.13193434028512	-0.564772815560303	0.572228299474872	1	Cops5	0.572228299474872	chr1	10024601	10038168	-	13567
728.695121253257	-0.041939808209123	0.190276219572628	-0.220415395593429	0.825547656283911	1	Cspp1	0.825547656283911	chr1	10037987	10136768	+	98781
67.6373609261413	-0.362720771772621	0.476917351722728	-0.760552683735234	0.446924290430087	1	RP23-228G18.6	0.446924290430087	chr1	10062258	10064079	+	1821
1332.55699187951	0.414323330205448	0.144758892518787	2.8621615086733	0.00420762433804861	1	Arfgef1	0.00420762433804861	chr1	10137571	10232670	-	95099
2.56635932690192	1.13448316906017	2.07764960297226	0.546041626767667	0.58503732359268	1	RP24-327F2.1	0.58503732359268	chr1	10197081	10198802	-	1721
73.0249069576266	2.70474514216637	0.476657635795707	5.67439801452297	1.39177201727728e-08	0.000228264528553646	Cpa6	1.39177201727728e-08	chr1	10324720	10719945	-	395225
167.666540453079	-0.209794354653155	0.357462430468013	-0.586899032657722	0.557271519511116	1	Prex2	0.557271519511116	chr1	10993465	11303681	+	310216
252.557268902463	0.744456930702925	0.254262230740597	2.92791001060017	0.00341248797074791	1	A830018L16Rik	0.00341248797074791	chr1	11414105	11975901	+	561796
10.3435389477742	1.17978003055811	0.967957176742117	1.21883494322438	0.222906845904528	1	RP23-2K13.1	0.222906845904528	chr1	11416918	11419388	+	2470
2.48633421888906	0.847533879759345	1.96154615111476	0.432074401755823	0.665687338807839	1	RP24-239K20.1	0.665687338807839	chr1	11704207	11706350	+	2143
3.26936094692843	-0.518436079838222	1.66772866428881	-0.310863566082139	0.755904343163979	1	Gm7560	0.755904343163979	chr1	12120960	12121832	+	872
7903.88534234842	1.00738089454155	0.218083571860301	4.61924245805575	3.85143598676805e-06	0.0631674016189828	Sulf1	3.85143598676805e-06	chr1	12692277	12861192	+	168915
39.2165632139196	0.452793595986479	0.562529010034839	0.804924880155846	0.420863029979574	1	Slco5a1	0.420863029979574	chr1	12866549	12992650	-	126101
1159.88362795328	0.141132842308834	0.163412144884388	0.863661892503057	0.387773653350643	1	Ncoa2	0.387773653350643	chr1	13139105	13374083	-	234978
